"Player","Nation","Team","League","Season","TeamElo","AgeDuringSeason","CurrentAge","Position","PlayStyle","Min","Starts","PercentLeftFooted","PercentRightFooted","Footedness","DAVIES","DAVIESPer90","xGoalsAdded","xGoalsAddedAbovePlayStyle","xGoalsAddedPer90","xGoalsAddedAbovePlayStylePer90","Salary($)","xSalary($)","CurrentMarketValue(€)","xMarketValue(€)","xGAM"
"Atakan Karazor","GER","Stuttgart","Bundesliga","2020-2021","1643.05","24.58","25","DF,MF","LowBlockCentralDefender","857","8","14.02","85.98","Right","-1.43","-0.02","1.06","-1.36","0.11","-0.02","","","","",""
"Eddy Sylvestre","FRA","Nice","Ligue 1","2018-2019","1596.18","18","22","FW","Dribbler","266","3","85.19","14.81","Left","-1.43","-0.15","0.31","-2.62","0.1","-0.14","","","","",""
"Lucas Holer","GER","Freiburg","Bundesliga","2017-2018","1572.85","23","27","MF,FW","Dribbler","906","12","14","86","Right","-1.43","-0.08","1.56","-1.36","0.16","-0.08","","","4000000","",""
"Jesus Vallejo","ESP","Real Madrid","La Liga","2018-2019","1837.72","21","24","DF,MF","LowBlockCentralDefender","311","4","20.14","79.86","Right","-1.43","0.05","0.64","-1.78","0.18","0.05","2261880","2539529","","",""
"Baissama Sankoh","GUI","Caen","Ligue 1","2018-2019","1456.1","26","29","MF,FW","DefensiveCentralProgressor","651","6","10.92","89.08","Right","-1.43","-0.04","0.63","-1.37","0.09","-0.04","406007","1085664","","",""
"Luiz Araujo","BRA","Lille","Ligue 1","2018-2019","1672.55","22","25","FW,MF","Playmaker","781","6","86.05","13.95","Left","-1.43","0.03","2.19","-1.52","0.25","0.02","1093619","1033917","5500000","",""
"Cristian Casseres Jr.","VEN","NY Red Bulls","MLS","2021","","21.3","21","MF,FW","AttackingCentralProgressor","341","4","15.85","84.15","Right","-1.43","0.16","1.21","-1.54","0.32","0.16","","","","",""
"Andrew Gutman","USA","FC Cincinnati","MLS","2019","","22","25","DF","DefensiveWideProgressor","483","5","90.61","9.39","Left","-1.43","0.03","1.04","-1.64","0.19","0.03","","","400000","","63887"
"Eddie Nketiah","ENG","Arsenal","Premier League","2020-2021","1850.31","21.95","22","FW","Finisher","423","4","13.41","86.59","Right","-1.43","0.08","1.56","-1.8","0.33","0.08","","","15000000","",""
"Paolo Ghiglione","ITA","Genoa","Serie A","2020-2021","1595.25","24.27","24","DF,MF","OffensiveWideProgressor","1302","13","14.85","85.15","Right","-1.43","-0.04","1.99","-1.16","0.14","-0.04","","","3200000","",""
"Ibrahima Mbaye","SEN","Bologna","Serie A","2020-2021","1595.33","26.47","27","DF","DefensiveCentralProgressor","428","5","11.11","88.89","Right","-1.43","0.01","0.63","-1.37","0.13","0.01","","","2000000","",""
"Jordon Ibe","ENG","Bournemouth","Premier League","2018-2019","1690.68","22","26","MF,FW","Dribbler","797","9","13.75","86.25","Right","-1.43","-0.06","1.56","-1.36","0.18","-0.06","2572694","2724524","","",""
"Isaac Cofie","GHA","Genoa","Serie A","2017-2018","1561.46","25","30","MF","DefensiveCentralProgressor","591","6","12.5","87.5","Right","-1.43","-0.03","0.62","-1.37","0.1","-0.03","","","","",""
"Luiz Fernando","BRA","Minnesota","MLS","2018","","22","26","MF","DefensiveCentralProgressor","577","6","11.07","88.93","Right","-1.43","-0.04","0.56","-1.44","0.09","-0.04","314167","329242","","","34401"
"Francisco Portillo","ESP","Getafe","La Liga","2018-2019","1757.47","28","31","MF,FW","Playmaker","1994","19","7.71","92.29","Right","-1.43","-0.12","2.5","-1.21","0.11","-0.12","705707","1828921","2000000","",""
"Fernando Marcal","BRA","Wolves","Premier League","2020-2021","1755.1","32.22","32","DF","DefensiveWideProgressor","615","7","86.74","13.26","Left","-1.44","-0.03","0.86","-1.82","0.13","-0.03","","","","",""
"Jean-Victor Makengo","FRA","Nice","Ligue 1","2018-2019","1596.18","20","23","FW,MF","Dribbler","1029","11","82.81","17.19","Left","-1.44","-0.1","1.56","-1.37","0.14","-0.1","428626","1053185","","",""
"Cedric Soares","POR","Southampton","Premier League","2018-2019","1673.84","26","30","DF","OffensiveWideProgressor","1495","16","14.98","85.02","Right","-1.44","-0.06","1.98","-1.17","0.12","-0.06","","","8000000","",""
"Sean Davis","USA","NY Red Bulls","MLS","2021","","28.25","28","MF","DefensiveCentralProgressor","360","4","26.03","73.97","Right","-1.44","0.03","0.62","-1.37","0.16","0.03","","","1200000","",""
"Ciaran Clark","IRL","Newcastle Utd","Premier League","2018-2019","1715.6","28","32","DF","LowBlockCentralDefender","858","9","86.07","13.93","Left","-1.44","-0.02","1.05","-1.37","0.11","-0.02","2401181","3760901","4800000","",""
"Ricardo Clark","USA","Columbus","MLS","2019","","35","38","MF","DefensiveCentralProgressor","361","4","9.19","90.81","Right","-1.44","0","0.46","-1.53","0.12","-0.01","160000","184238","","","28258"
"Raul Garcia","ESP","Valladolid","La Liga","2020-2021","1615.13","32.03","32","DF,MF","DefensiveWideProgressor","504","5","93.78","6.22","Left","-1.44","0","0.85","-1.82","0.15","-0.01","","","","",""
"Vasco Regini","ITA","Sampdoria","Serie A","2017-2018","1600.93","26","31","DF","PossessionOrientedCentralDefender","1077","10","83.56","16.44","Left","-1.44","-0.02","1.58","-1.21","0.13","-0.02","","","","",""
"Raul Garcia","ESP","Valladolid","La Liga","2019-2020","1653.63","30","32","DF,MF","DefensiveWideProgressor","1012","12","90.42","9.58","Left","-1.44","-0.03","1.42","-1.26","0.13","-0.03","","","","",""
"Handwalla Bwana","USA","Seattle","MLS","2019","","21","24","FW","Dribbler","572","6","18.72","81.28","Right","-1.44","0.01","1.55","-1.37","0.24","0","57225","140524","","","95215"
"Ozan Kabak","TUR","Liverpool","Premier League","2020-2021","1924.15","21.13","21","DF","PossessionOrientedCentralDefender","801","9","14.37","85.63","Right","-1.44","-0.03","1.08","-1.71","0.12","-0.03","","","","",""
"Bafode Diakite","FRA","Toulouse","Ligue 1","2018-2019","1491.43","17","20","DF","PossessionOrientedCentralDefender","633","7","25.73","74.27","Right","-1.44","-0.05","0.66","-2.13","0.09","-0.06","56547","929454","7200000","",""
"Lucien Agoume","FRA","Spezia","Serie A","2020-2021","1518.89","19.25","19","MF","DefensiveCentralProgressor","730","8","17.23","82.77","Right","-1.44","-0.05","0.55","-1.44","0.07","-0.06","","","","",""
"Gerard Gumbau","ESP","Leganes","La Liga","2018-2019","1667.23","23","27","MF","AttackingCentralProgressor","1199","13","85.09","14.91","Left","-1.44","-0.07","1.2","-1.55","0.09","-0.07","770170","1265746","","",""
"Vitolo","ESP","Las Palmas","La Liga","2017-2018","1539.63","27","32","FW,MF","Dribbler","690","8","13.43","86.57","Right","-1.44","-0.03","1.61","-1.31","0.21","-0.03","","","","",""
"Charles","BRA","Eibar","La Liga","2019-2020","1684.45","35","37","FW","Finisher","1301","13","5.76","94.24","Right","-1.44","-0.09","2.38","-0.98","0.16","-0.08","883264","1814092","500000","948625",""
"Kevin Kampl","SVN","RB Leipzig","Bundesliga","2019-2020","1844.66","28","31","MF","AttackingCentralProgressor","675","8","8.3","91.7","Right","-1.44","0.06","1.69","-1.07","0.22","0.06","3944719","3076242","14000000","14475890",""
"Eder Militao","BRA","Real Madrid","La Liga","2020-2021","1925.01","23.31","23","DF","PossessionOrientedCentralDefender","863","10","10.57","89.43","Right","-1.44","0.01","1.57","-1.21","0.16","0.01","","","40000000","",""
"Jonathan dos Santos","MEX","LA Galaxy","MLS","2021","","31.04","31","MF","DefensiveCentralProgressor","321","4","4.08","95.92","Right","-1.44","0.01","0.46","-1.54","0.13","0","","","1600000","",""
"Cifu","ESP","Elche","La Liga","2020-2021","1560.57","30.6","31","DF","DefensiveCentralProgressor","437","4","2.56","97.44","Right","-1.44","-0.03","0.46","-1.54","0.09","-0.03","","","","",""
"Renaud Cohade","FRA","Metz","Ligue 1","2019-2020","1546.36","34","37","MF","AttackingCentralProgressor","764","9","7.83","92.17","Right","-1.44","-0.03","1.11","-1.64","0.13","-0.03","","","400000","492421",""
"Benjamin Corgnet","FRA","Strasbourg","Ligue 1","2017-2018","1482.96","30","34","MF,FW","Finisher","1376","15","19.01","80.99","Right","-1.45","-0.11","2.14","-1.22","0.14","-0.11","","","400000","",""
"Hakim Ziyech","MAR","Chelsea","Premier League","2020-2021","1916.31","28.15","28","FW,MF","Playmaker","1128","15","88.44","11.56","Left","-1.45","-0.04","2.49","-1.22","0.2","-0.03","","","","",""
"Leon Balogun","NGA","Mainz 05","Bundesliga","2017-2018","1595.9","29","33","DF","PossessionOrientedCentralDefender","1173","14","20.53","79.47","Right","-1.45","-0.04","1.57","-1.22","0.12","-0.03","","","","",""
"Victor Rodriguez","ESP","Elche","La Liga","2020-2021","1560.57","31.8","32","MF","DefensiveCentralProgressor","392","2","17.78","82.22","Right","-1.45","-0.02","0.45","-1.54","0.1","-0.02","","","","",""
"Amir Abrashi","ALB","Freiburg","Bundesliga","2019-2020","1660.59","29","31","MF","DefensiveCentralProgressor","663","8","7.74","92.26","Right","-1.45","-0.04","0.61","-1.38","0.08","-0.04","705707","1484496","1000000","1755462",""
"Kevin Lasagna","ITA","Hellas Verona","Serie A","2020-2021","1575.84","28.75","29","FW","Finisher","1202","14","80.71","19.29","Left","-1.45","-0.09","2.14","-1.22","0.16","-0.09","","","","",""
"Valentin Vada","ARG","Bordeaux","Ligue 1","2017-2018","1633.16","21","25","MF,FW","AttackingCentralProgressor","860","11","10.63","89.37","Right","-1.45","-0.04","1.2","-1.56","0.13","-0.04","","","","",""
"Martin Mantovani","ARG","Leganes","La Liga","2017-2018","1633.34","33","37","DF","LowBlockCentralDefender","1021","10","14.24","85.76","Right","-1.45","-0.03","1.18","-1.24","0.1","-0.03","","","","",""
"Jordan McCrary","USA","Seattle","MLS","2018","","24","28","DF","DefensiveWideProgressor","879","9","11.3","88.7","Right","-1.45","-0.02","1.41","-1.26","0.14","-0.01","67500","119266","","","86615"
"Glen Johnson","ENG","Stoke City","Premier League","2017-2018","1625.11","32","37","DF","DefensiveWideProgressor","547","7","11.24","88.76","Right","-1.45","-0.02","0.84","-1.83","0.14","-0.02","","","","",""
"Claudio Bravo","ARG","Portland Timbers","MLS","2021","","24.16","24","DF","DefensiveCentralProgressor","309","4","91.28","8.72","Left","-1.45","0.05","0.61","-1.39","0.18","0.05","","","","",""
"Stef Peeters","BEL","Caen","Ligue 1","2017-2018","1479.19","25","29","MF","Playmaker","1109","11","86.41","13.59","Left","-1.45","-0.04","2.49","-1.22","0.2","-0.03","","","","",""
"Idrissa Doumbia","CIV","Huesca","La Liga","2020-2021","1609.55","23.07","23","MF","DefensiveCentralProgressor","739","7","21.57","78.43","Right","-1.45","-0.05","0.6","-1.39","0.07","-0.05","","","","",""
"Gerard Deulofeu","ESP","Barcelona","La Liga","2017-2018","2025.35","23","27","MF,FW","Dribbler","502","5","6.01","93.99","Right","-1.45","0.04","1.54","-1.39","0.28","0.04","","","","",""
"Luca Sangalli","ESP","Real Sociedad","La Liga","2018-2019","1715.61","23","26","MF,FW","Playmaker","999","12","15.16","84.84","Right","-1.46","-0.03","2.17","-1.54","0.2","-0.04","415055","1601624","2000000","",""
"Luca Mazzitelli","ITA","Genoa","Serie A","2018-2019","1537.01","22","26","MF,FW","DefensiveCentralProgressor","323","3","23.38","76.62","Right","-1.46","0.03","0.54","-1.46","0.15","0.03","732849","993268","","",""
"Pablo Mari","ESP","Arsenal","Premier League","2020-2021","1850.31","27.69","28","DF","LowBlockCentralDefender","810","9","86.52","13.48","Left","-1.46","-0.02","1.03","-1.39","0.11","-0.02","","","","",""
"Drew Moor","USA","Toronto FC","MLS","2018","","34","37","DF","LowBlockCentralDefender","570","6","26.24","73.76","Right","-1.46","0.05","1.17","-1.25","0.18","0.05","350004","410061","","","71872"
"Marcelo","BRA","Real Madrid","La Liga","2020-2021","1925.01","33","33","DF","OffensiveWideProgressor","1027","12","88.62","11.38","Left","-1.46","0.01","2.17","-0.98","0.19","0.01","","","12000000","",""
"Eric Maxim Choupo-Moting","CMR","Bayern Munich","Bundesliga","2020-2021","1992.34","32.13","32","FW,MF","Finisher","801","8","19.78","80.22","Right","-1.46","0.01","2.36","-1","0.27","0.02","","","","",""
"Stevan Jovetic","MNE","Monaco","Ligue 1","2019-2020","1587.32","29","32","FW,MF","Dribbler","473","5","11.54","88.46","Right","-1.46","0.07","1.59","-1.33","0.3","0.06","3787518","2797135","","",""
"Stuart Armstrong","SCO","Southampton","Premier League","2018-2019","1673.84","26","29","MF,FW","Playmaker","1432","16","19.26","80.74","Right","-1.46","-0.08","2.47","-1.23","0.16","-0.08","3430258","3941231","6500000","",""
"Juan Sanchez Mino","ARG","Elche","La Liga","2020-2021","1560.57","31.36","31","DF,MF","DefensiveCentralProgressor","495","5","84.52","15.48","Left","-1.46","-0.04","0.44","-1.55","0.08","-0.04","","","","",""
"Wesley Fofana","FRA","Saint-Etienne","Ligue 1","2020-2021","1559.51","20.4","21","DF","LowBlockCentralDefender","315","3","2.99","97.01","Right","-1.46","0.04","0.61","-1.81","0.17","0.04","","","","",""
"Divock Origi","BEL","Liverpool","Premier League","2019-2020","1994.79","24","26","FW","Finisher","717","7","14.95","85.05","Right","-1.46","0.02","2.13","-1.23","0.27","0.02","3087232","3040966","16000000","18073800",""
"Corentin Jean","FRA","Lens","Ligue 1","2020-2021","1575.67","25.82","26","FW","Finisher","531","6","17.73","82.27","Right","-1.46","0.11","2.13","-1.23","0.36","0.11","","","","",""
"Lorenzo Tonelli","ITA","Napoli","Serie A","2017-2018","1855.68","27","31","DF","DefensiveCentralProgressor","351","3","18.23","81.77","Right","-1.46","0.03","0.6","-1.4","0.15","0.03","","","","",""
"Andre Ayew","GHA","West Ham","Premier League","2017-2018","1669.79","27","32","FW,MF","Dribbler","895","9","89.26","10.74","Left","-1.46","-0.08","1.59","-1.33","0.16","-0.08","","","","",""
"Ebrima Colley","GAM","Hellas Verona","Serie A","2020-2021","1575.84","21.27","21","FW,MF","Dribbler","713","4","12.61","87.39","Right","-1.47","-0.05","1.53","-1.4","0.19","-0.05","","","","",""
"Rhian Brewster","ENG","Sheffield Utd","Premier League","2020-2021","1602.77","21.11","21","FW","Finisher","1092","12","11.96","88.04","Right","-1.47","-0.13","1.53","-1.83","0.13","-0.12","","","","",""
"Michaell Chirinos","HON","Vancouver","MLS","2019","","23","26","MF,FW","Dribbler","412","4","18.25","81.75","Right","-1.47","0.1","1.53","-1.4","0.33","0.09","396875","335509","","","93987"
"Andrea Ranocchia","ITA","Inter","Serie A","2020-2021","1899.78","33.23","33","DF","PossessionOrientedCentralDefender","523","6","9.69","90.31","Right","-1.47","0.06","1.28","-1.5","0.22","0.07","","","2000000","",""
"Clement Depres","FRA","Nimes","Ligue 1","2018-2019","1570.43","23","27","FW","Finisher","441","4","8.62","91.38","Right","-1.47","0.06","1.53","-1.83","0.31","0.06","122142","1307783","","",""
"Joshua Perez","USA","Los Angeles FC","MLS","2019","","21","23","FW,MF","Finisher","457","4","79.86","20.14","Left","-1.47","0.05","1.52","-1.83","0.3","0.05","76000","178686","","","93373"
"Luciano Narsingh","NED","Swansea City","Premier League","2017-2018","1615.29","26","31","FW,MF","Dribbler","625","5","16.67","83.33","Right","-1.47","-0.01","1.58","-1.34","0.23","-0.01","","","","",""
"Anthony Jackson-Hamel","CAN","Montreal","MLS","2019","","25","28","FW","Finisher","623","6","6.96","93.04","Right","-1.47","0.06","2.12","-1.24","0.31","0.06","175000","245598","400000","","130230"
"Pierre Kunde","CMR","Mainz 05","Bundesliga","2020-2021","1650.23","25.79","26","MF","DefensiveCentralProgressor","513","6","12.55","87.45","Right","-1.47","-0.02","0.59","-1.41","0.1","-0.02","","","","",""
"Anthony Lozano","HON","Girona","La Liga","2018-2019","1622.19","25","28","FW,MF","Finisher","730","7","13.84","86.16","Right","-1.47","0.02","2.12","-1.24","0.26","0.01","907014","2257195","","",""
"Nikola Kalinic","CRO","Roma","Serie A","2019-2020","1737.04","31","33","FW","Finisher","571","6","4.35","95.65","Right","-1.47","0.12","2.35","-1.01","0.37","0.12","","","","",""
"Jose Izquierdo","COL","Brighton","Premier League","2018-2019","1616.4","26","29","MF,FW","Dribbler","795","9","12.04","87.96","Right","-1.47","-0.06","1.58","-1.34","0.18","-0.06","3087232","3429466","","",""
"Jasmin Kurtic","SVN","SPAL","Serie A","2017-2018","1554.81","28","32","MF","AttackingCentralProgressor","1440","16","12.92","87.08","Right","-1.47","-0.07","1.66","-1.1","0.1","-0.06","","","","",""
"Mohamed Elneny","EGY","Arsenal","Premier League","2018-2019","1866.53","26","29","MF","DefensiveCentralProgressor","380","5","3.97","96.03","Right","-1.47","0.01","0.58","-1.41","0.14","0.01","3430258","4085124","","",""
"Olivier Giroud","FRA","Chelsea","Premier League","2018-2019","1883.25","31","35","FW","Finisher","847","7","74.52","25.48","Left","-1.47","0","2.35","-1.01","0.25","0","7546568","6763962","7000000","",""
"Dimitri Foulquier","FRA","Getafe","La Liga","2018-2019","1757.47","25","28","MF,FW","Playmaker","1799","23","18.23","81.77","Right","-1.48","-0.11","2.46","-1.25","0.12","-0.11","1309629","1568442","","",""
"Rober Correa","ESP","Eibar","La Liga","2019-2020","1684.45","26","29","DF","DefensiveWideProgressor","929","11","11.58","88.42","Right","-1.48","-0.03","1.38","-1.29","0.13","-0.02","","","","",""
"Lee Kangin","KOR","Valencia","La Liga","2020-2021","1689.15","20.22","20","FW,MF","Playmaker","1103","13","94.04","5.96","Left","-1.48","-0.05","2.15","-1.56","0.18","-0.06","","","","",""
"PC","BRA","Orlando City","MLS","2018","","23","27","DF,MF","PossessionOrientedCentralDefender","418","5","84.23","15.77","Left","-1.48","0.07","1.04","-1.75","0.22","0.07","95313","136143","","","63887"
"Simon Rhein","GER","Nurnberg","Bundesliga","2018-2019","1492.29","20","23","MF","DefensiveCentralProgressor","494","7","84.21","15.79","Left","-1.48","-0.03","0.52","-1.48","0.09","-0.03","","","","",""
"Michael Parensen","GER","Union Berlin","Bundesliga","2019-2020","1600.27","33","35","DF","PossessionOrientedCentralDefender","628","6","81.32","18.68","Left","-1.48","0.02","1.27","-1.51","0.18","0.03","","","","",""
"Ayo Akinola","USA","Toronto FC","MLS","2019","","19","21","FW,MF","Finisher","257","2","20","80","Right","-1.48","0","0.75","-2.61","0.26","0.01","124256","172582","3000000","","46072"
"Vincent Pajot","FRA","Metz","Ligue 1","2019-2020","1546.36","28","31","MF","DefensiveCentralProgressor","519","7","11.95","88.05","Right","-1.48","-0.03","0.58","-1.41","0.1","-0.02","","","1600000","1832482",""
"Felix Klaus","GER","Wolfsburg","Bundesliga","2019-2020","1718.13","26","29","FW,MF","Finisher","670","6","9.77","90.23","Right","-1.48","0.04","2.11","-1.25","0.28","0.03","2261880","3164127","2000000","3311035",""
"Lucas Castro","ARG","Cagliari","Serie A","2018-2019","1531.8","29","32","MF,FW","AttackingCentralProgressor","896","10","8.44","91.56","Right","-1.48","0","1.65","-1.11","0.17","0","1465698","1322394","2200000","",""
"Daniele Verde","ITA","Spezia","Serie A","2020-2021","1518.89","24.89","25","FW","Finisher","909","11","87.76","12.24","Left","-1.48","-0.04","2.11","-1.25","0.21","-0.04","","","","",""
"Son","ESP","Levante","La Liga","2020-2021","1671.31","27.12","27","DF,MF","OffensiveWideProgressor","1027","9","13.9","86.1","Right","-1.48","-0.01","1.94","-1.21","0.17","-0.01","","","","",""
"Sulley Muntari","GHA","La Coruna","La Liga","2017-2018","","32","37","MF","DefensiveCentralProgressor","402","6","78.63","21.37","Left","-1.48","-0.03","0.42","-1.57","0.09","-0.03","","","","",""
"Christian Kouakou","CIV","Caen","Ligue 1","2017-2018","1479.19","26","30","MF,FW","Dribbler","847","7","17.99","82.01","Right","-1.48","-0.07","1.57","-1.35","0.17","-0.07","","","","",""
"Carlos Vigaray","ESP","Alaves","La Liga","2017-2018","1704.9","22","27","DF,MF","DefensiveWideProgressor","897","9","5.08","94.92","Right","-1.48","-0.06","0.99","-1.69","0.1","-0.06","","","","",""
"Jese","ESP","Betis","La Liga","2018-2019","1682.82","25","28","FW,MF","Finisher","779","9","8.16","91.84","Right","-1.48","0","2.11","-1.25","0.24","-0.01","","","","",""
"Roberto Inglese","ITA","Parma","Serie A","2019-2020","1572.84","27","30","FW","Finisher","766","8","19.4","80.6","Right","-1.48","0","2.11","-1.25","0.25","0","","","12000000","5222828",""
"Sergio Gomez","ESP","Huesca","La Liga","2020-2021","1609.55","20.68","21","MF,FW","OffensiveWideProgressor","654","3","93.42","6.58","Left","-1.48","0","1.26","-1.89","0.17","-0.01","","","","",""
"Thierry Ambrose","FRA","Metz","Ligue 1","2019-2020","1546.36","22","24","FW","Dribbler","548","4","23.75","76.25","Right","-1.48","0.01","1.51","-1.41","0.25","0.01","","","1600000","2002301",""
"Vittorio Parigini","ITA","Benevento","Serie A","2017-2018","1449.56","21","25","FW,MF","Dribbler","857","10","19.87","80.13","Right","-1.48","-0.08","1.51","-1.41","0.16","-0.08","","","","",""
"Laurent Depoitre","BEL","Huddersfield","Premier League","2018-2019","1522.12","29","33","FW","Finisher","1068","10","9.36","90.64","Right","-1.48","-0.07","2.1","-1.25","0.18","-0.07","2401181","3632715","","",""
"Salvi","ESP","Cadiz","La Liga","2020-2021","1620.17","30.12","30","MF,FW","Playmaker","1933","25","11.04","88.96","Right","-1.48","-0.14","2.18","-1.52","0.1","-0.13","","","","",""
"Hidde ter Avest","NED","Udinese","Serie A","2019-2020","1582.55","22","24","DF","DefensiveWideProgressor","686","6","12.72","87.28","Right","-1.48","-0.03","0.99","-1.69","0.13","-0.03","523625","1022851","1600000","2063033",""
"Lukas Haraslin","SVK","Sassuolo","Serie A","2020-2021","1675.6","24.96","25","FW,MF","Dribbler","333","2","15.79","84.21","Right","-1.48","0.19","1.57","-1.35","0.42","0.18","","","1600000","",""
"Willian Jose","BRA","Real Sociedad","La Liga","2020-2021","1742.85","29.46","30","FW","Finisher","689","8","8.18","91.82","Right","-1.48","0.03","2.1","-1.26","0.27","0.03","","","24000000","",""
"Perry Kitchen","USA","LA Galaxy","MLS","2019","","26","29","MF","DefensiveCentralProgressor","573","6","13.83","86.17","Right","-1.48","-0.04","0.57","-1.42","0.09","-0.03","474167","245026","600000","","35015"
"Abu Danladi","GHA","Minnesota","MLS","2018","","22","26","FW","Finisher","488","5","8.8","91.2","Right","-1.49","0.02","1.51","-1.85","0.28","0.03","186000","210233","","","92758"
"Ibrahim Amadou","FRA","Norwich City","Premier League","2019-2020","1537.87","26","28","DF,MF","LowBlockCentralDefender","759","8","6.82","93.18","Right","-1.49","-0.01","1","-1.42","0.12","-0.01","","","5500000","2030685",""
"Lucas Olaza","URU","Celta Vigo","La Liga","2018-2019","1677.45","24","27","DF","DefensiveWideProgressor","897","10","89.85","10.15","Left","-1.49","-0.02","1.37","-1.3","0.14","-0.02","335889","1855142","5000000","",""
"Hamza Choudhury","ENG","Leicester City","Premier League","2018-2019","1738.56","20","24","MF","DefensiveCentralProgressor","595","7","13.51","86.49","Right","-1.49","-0.05","0.51","-1.49","0.08","-0.05","514539","1070554","8000000","",""
"Angel Rodriguez","ESP","Getafe","La Liga","2020-2021","1656.11","34.04","34","FW,MF","Finisher","1260","10","12.86","87.14","Right","-1.49","-0.08","2.34","-1.02","0.17","-0.08","","","4000000","",""
"Mehdi Tahrat","ALG","Angers","Ligue 1","2017-2018","1547.32","27","31","MF","DefensiveCentralProgressor","437","6","21.23","78.77","Right","-1.49","-0.01","0.57","-1.42","0.12","-0.01","","","","",""
"Thierry Ambrose","FRA","Metz","Ligue 1","2020-2021","1544.02","24.12","24","FW","Dribbler","631","4","19.25","80.75","Right","-1.49","-0.01","1.57","-1.36","0.22","-0.02","","","1600000","",""
"Javi Sanchez","ESP","Valladolid","La Liga","2019-2020","1653.63","22","24","DF","LowBlockCentralDefender","497","6","34.97","65.03","Right","-1.49","-0.03","0.58","-1.84","0.1","-0.03","","","3000000","3510229",""
"Marvin Zeegelaar","NED","Udinese","Serie A","2018-2019","1561.08","27","31","DF","DefensiveWideProgressor","956","10","78.83","21.17","Left","-1.49","-0.03","1.37","-1.31","0.13","-0.03","1311890","1468004","1200000","",""
"Sebastian Cristoforo","URU","Fiorentina","Serie A","2017-2018","1682.86","23","28","MF","DefensiveCentralProgressor","268","3","15.34","84.66","Right","-1.49","0.05","0.5","-1.49","0.17","0.04","","","","",""
"Ronael Pierre-Gabriel","FRA","Mainz 05","Bundesliga","2019-2020","1652.84","21","23","DF","DefensiveWideProgressor","574","8","6.25","93.75","Right","-1.49","-0.01","0.98","-1.69","0.15","-0.01","","","3600000","3594000",""
"Ruben Sobrino","ESP","Alaves","La Liga","2018-2019","1679.75","26","29","FW,MF","Finisher","965","10","17.91","82.09","Right","-1.49","-0.05","2.1","-1.26","0.2","-0.05","","","","",""
"Bobby Wood","USA","Hannover 96","Bundesliga","2018-2019","1527.5","25","29","FW,MF","Finisher","1182","12","22.56","77.44","Right","-1.49","-0.09","2.1","-1.26","0.16","-0.09","1809504","1293881","","",""
"Carles Alena","ESP","Betis","La Liga","2019-2020","1666.35","21","23","MF,FW","AttackingCentralProgressor","735","7","90.32","9.68","Left","-1.49","-0.02","1.15","-1.6","0.14","-0.02","","","","",""
"Miguel Ibarra","USA","Minnesota","MLS","2019","","28","31","FW,MF","Playmaker","1506","16","25.52","74.48","Right","-1.49","-0.09","2.44","-1.27","0.15","-0.09","342318","482037","","","149887"
"Tyler Adams","USA","RB Leipzig","Bundesliga","2019-2020","1844.66","20","22","DF,MF","OffensiveWideProgressor","953","10","12.23","87.77","Right","-1.49","-0.06","1.25","-1.9","0.12","-0.06","729456","915182","16000000","16841903",""
"Marcel Sobottka","GER","Dusseldorf","Bundesliga","2019-2020","1591.63","25","27","MF","DefensiveCentralProgressor","701","8","18.54","81.46","Right","-1.49","-0.05","0.56","-1.43","0.07","-0.05","619755","1305176","","",""
"Hernan Toledo","ARG","Las Palmas","La Liga","2017-2018","1539.63","21","25","FW,MF","Dribbler","629","6","11.7","88.3","Right","-1.49","-0.02","1.5","-1.43","0.21","-0.03","","","","",""
"Hector Bellerin","ESP","Arsenal","Premier League","2019-2020","1803.37","24","26","DF","OffensiveWideProgressor","1158","13","9.29","90.71","Right","-1.5","-0.03","1.93","-1.22","0.15","-0.03","7546568","5642639","32000000","22927267",""
"Solly March","ENG","Brighton","Premier League","2019-2020","1658.11","25","27","DF,FW","Playmaker","1143","11","91.07","8.93","Left","-1.5","-0.04","2.44","-1.27","0.19","-0.04","2058155","3977413","6500000","6739380",""
"Moussa Doumbia","MLI","Reims","Ligue 1","2020-2021","1577.64","26.74","27","MF,FW","Dribbler","839","8","16.22","83.78","Right","-1.5","-0.07","1.56","-1.36","0.17","-0.07","","","2000000","",""
"Chris Schuler","USA","Orlando City","MLS","2018","","30","34","DF","LowBlockCentralDefender","786","8","44.67","55.33","Dual","-1.5","-0.02","0.99","-1.43","0.11","-0.02","81250","315519","","","60815"
"Alessandro Florenzi","ITA","Valencia","La Liga","2019-2020","1733.38","28","30","DF","DefensiveWideProgressor","752","9","5.67","94.33","Right","-1.5","0","1.36","-1.31","0.16","0","","","10000000","7845425",""
"Ignazio Abate","ITA","Milan","Serie A","2017-2018","1720.63","30","35","DF","OffensiveWideProgressor","1057","11","10.02","89.98","Right","-1.5","-0.02","1.93","-1.23","0.16","-0.02","","","","",""
"Miguel Juan Llambrich","ESP","Villarreal","La Liga","2018-2019","1729","22","25","DF","DefensiveWideProgressor","544","5","9.04","90.96","Right","-1.5","0","0.97","-1.7","0.16","0","","","","",""
"Jon Guridi","ESP","Real Sociedad","La Liga","2020-2021","1742.85","26.2","26","MF","AttackingCentralProgressor","741","7","87.64","12.36","Left","-1.5","0.03","1.63","-1.13","0.2","0.03","","","","",""
